feature,mean_abs_shap,feature_family
numeric__assessment_weighted_score_ratio_early,0.71362764,early_academic_progress
categorical__code_module_GGG,0.20674881,program_setup
numeric__assessment_submission_ratio_early,0.19418585,early_academic_progress
numeric__assessment_weighted_score_sum_early,0.15455583,early_academic_progress
numeric__studied_credits,0.15269154,program_setup
numeric__assessment_score_max_early,0.14364098,early_academic_progress
numeric__vle_active_days_early,0.11716835,early_engagement
numeric__vle_total_clicks_early,0.11118622,early_engagement
numeric__assessment_score_mean_early,0.10982256,early_academic_progress
categorical__code_module_BBB,0.07844854,program_setup
numeric__assessment_mean_submission_delay_early,0.07245494,early_academic_progress
numeric__date_registration,0.06756349,program_setup
numeric__early_assessment_count_expected,0.06425187,early_academic_progress
numeric__vle_clicks_ouwiki_early,0.06405149,early_engagement
numeric__vle_event_count_early,0.05817327,early_engagement
categorical__code_presentation_2014J,0.05018053,program_setup
numeric__vle_unique_sites_early,0.048655614,early_engagement
categorical__highest_education_Lower Than A Level,0.047113907,prior_preparation
numeric__vle_clicks_forumng_early,0.046206538,early_engagement
numeric__vle_clicks_homepage_early,0.044689685,early_engagement
numeric__early_assessment_weight_expected,0.0431078,early_academic_progress
numeric__vle_clicks_resource_early,0.0422129,early_engagement
numeric__vle_clicks_subpage_early,0.041935086,early_engagement
categorical__code_presentation_2013J,0.036582846,program_setup
numeric__module_presentation_length,0.03414849,program_setup
numeric__vle_clicks_quiz_early,0.03263476,early_engagement
numeric__num_of_prev_attempts,0.032534815,prior_preparation
categorical__gender_F,0.032327175,demographics
categorical__disability_N,0.031255633,demographics
numeric__vle_clicks_oucontent_early,0.03031876,early_engagement
numeric__vle_clicks_page_early,0.03025687,early_engagement
categorical__region_Scotland,0.028220434,demographics
numeric__assessment_score_min_early,0.025465975,early_academic_progress
numeric__vle_clicks_dualpane_early,0.025246121,early_engagement
categorical__age_band_35-55,0.024008932,demographics
numeric__assessment_submission_count_early,0.022624345,early_academic_progress
categorical__region_Wales,0.019591393,demographics
categorical__code_module_CCC,0.01942624,program_setup
categorical__code_module_AAA,0.01776005,program_setup
categorical__region_East Midlands Region,0.016736235,demographics
numeric__assessment_score_std_early,0.016623093,early_academic_progress
numeric__vle_clicks_url_early,0.014822638,early_engagement
numeric__registration_lead_days,0.0131756915,program_setup
numeric__assessment_type_count_tma_early,0.011107524,early_academic_progress
numeric__assessment_banked_count_early,0.011046321,early_academic_progress
categorical__code_module_DDD,0.010346651,program_setup
categorical__highest_education_A Level or Equivalent,0.009638535,prior_preparation
numeric__vle_clicks_htmlactivity_early,0.008785843,early_engagement
categorical__disability_Y,0.008644456,demographics
categorical__imd_band_50-60%,0.008421923,demographics
numeric__vle_clicks_oucollaborate_early,0.008377331,early_engagement
categorical__region_West Midlands Region,0.008329219,demographics
categorical__age_band_0-35,0.007175896,demographics
categorical__code_module_FFF,0.0045484323,program_setup
categorical__code_presentation_2014B,0.0044606165,program_setup
numeric__vle_clicks_glossary_early,0.0043404256,early_engagement
categorical__gender_M,0.0041622184,demographics
numeric__assessment_late_submission_count_early,0.0038334045,early_academic_progress
numeric__vle_clicks_externalquiz_early,0.003733636,early_engagement
numeric__vle_clicks_questionnaire_early,0.003521653,early_engagement
categorical__code_presentation_2013B,0.0032104827,program_setup
categorical__region_South Region,0.0030404546,demographics
categorical__imd_band_20-30%,0.0029032915,demographics
categorical__imd_band_70-80%,0.0028676393,demographics
categorical__region_London Region,0.002865726,demographics
numeric__vle_clicks_ouelluminate_early,0.0027388935,early_engagement
categorical__region_South West Region,0.002204828,demographics
categorical__imd_band_10-20,0.0019630743,demographics
categorical__imd_band_90-100%,0.001733034,demographics
categorical__imd_band_0-10%,0.0016841163,demographics
categorical__region_Ireland,0.0016641225,demographics
categorical__region_Yorkshire Region,0.0015301894,demographics
categorical__imd_band_40-50%,0.0015253496,demographics
categorical__region_East Anglian Region,0.0014800349,demographics
numeric__assessment_type_count_cma_early,0.0013782302,early_academic_progress
categorical__code_module_EEE,0.0011655285,program_setup
categorical__imd_band_80-90%,0.0011608473,demographics
categorical__imd_band_30-40%,0.0011105695,demographics
categorical__highest_education_HE Qualification,0.0010267883,prior_preparation
categorical__imd_band_60-70%,0.0010234822,demographics
categorical__region_North Region,0.0008117151,demographics
categorical__region_North Western Region,0.0004519101,demographics
categorical__region_South East Region,0.00032974617,demographics
categorical__highest_education_No Formal quals,0.00021213871,prior_preparation
categorical__highest_education_Post Graduate Qualification,6.1564606e-05,prior_preparation
categorical__age_band_55<=,3.1839896e-05,demographics
numeric__vle_clicks_dataplus_early,0.0,early_engagement
numeric__vle_clicks_repeatactivity_early,0.0,early_engagement
numeric__vle_clicks_sharedsubpage_early,0.0,early_engagement
