comparison,metric,mean_difference,ci_95_lower,ci_95_upper,ci_excludes_zero
day_60_minus_day_35,f1,0.033959450864259985,0.023252779081523556,0.044708564888057765,True
day_60_minus_day_35,roc_auc,0.023808710164709403,0.01827724883679306,0.029357341947645627,True
day_75_minus_day_60,f1,0.022245334408337713,0.014100183570547247,0.03052600937819145,True
day_75_minus_day_60,roc_auc,0.01455565996065571,0.010310925096757984,0.01871822342903647,True
day_75_minus_day_35,f1,0.05585380048812419,0.04404966347356053,0.06800261945312638,True
day_75_minus_day_35,roc_auc,0.038289215053457934,0.03223692731419521,0.04502969542050478,True
