threshold,precision,recall,f1,balanced_accuracy,window_days
0.2,0.3915539155391554,0.9404234367306745,0.5529020118685772,0.6395521818234478,35
0.22,0.4109708315193731,0.92959133431807,0.5699622641509434,0.6633250789237408,35
0.24,0.4312033582089552,0.9103889709502708,0.5852191802500396,0.6834698865446541,35
0.26,0.4524286429644467,0.8897095027080256,0.5998340248962656,0.701205018733692,35
0.28,0.47529538131041893,0.8714918759231906,0.6151172893136403,0.7180543158582084,35
0.3,0.49597469810235767,0.8493353028064993,0.6262479578870939,0.7293690774282051,35
0.32,0.520679012345679,0.8306253077301822,0.6401062416998672,0.7422957198187452,35
0.34,0.5409404801052285,0.809945839487937,0.6486593059936908,0.7494470730416511,35
0.36,0.5678709224833391,0.7971442639094042,0.6632527652601393,0.7613172299939177,35
0.38,0.5884529977794226,0.7828655834564254,0.6718783012888232,0.7675468737246476,35
0.4,0.6066978193146417,0.7671097981290005,0.6775385953468145,0.7710326174245715,35
0.42,0.6232596232596233,0.7493845396356474,0.6805276101050749,0.7721967261458095,35
0.44,0.6492829204693612,0.7355982274741507,0.6897506925207756,0.7778926966247759,35
0.46,0.6647058823529411,0.7232890201871,0.6927611412402735,0.7790910341577211,35
0.48,0.683341198678622,0.7129492860659774,0.6978313253012048,0.7817197410722043,35
0.5,0.6947574718275356,0.6981782373215165,0.6964636542239686,0.7796818102828617,35
0.52,0.7084178498985801,0.6878385032003939,0.6979765176117911,0.7798595368051879,35
0.54,0.7174817898022893,0.6789758739537174,0.6976979509233494,0.7789932845704416,35
0.56,0.7280086346465191,0.6642048252092565,0.6946446961894953,0.7759526799843074,35
0.58,0.7371333702268954,0.6558345642540621,0.6941115164147994,0.7749983872963715,35
0.6,0.7471461187214612,0.6445100935499753,0.6920433518371663,0.7729012143329199,35
0.62,0.7621015348288076,0.6356474643032989,0.6931543624161074,0.7729262276953215,35
0.64,0.7717391304347826,0.6292466765140325,0.6932465419039869,0.7725110387917756,35
0.66,0.7785317705120296,0.62136878385032,0.6911281489594743,0.7706888482531458,35
0.68,0.7900763358778626,0.6115214180206795,0.6894254787676936,0.7689960031279868,35
0.7,0.8007915567282322,0.5977351058591827,0.6845221313786298,0.7652222766372563,35
0.72,0.8078750848608283,0.585918266863614,0.6792237442922374,0.7614306129326982,35
0.74,0.8177304964539007,0.567700640078779,0.6701540249927347,0.7552184127310115,35
0.76,0.8293768545994066,0.5504677498769079,0.6617342408996745,0.7496099890204504,35
0.78,0.8476716653512234,0.5288035450516987,0.6513038204972711,0.7428999899946551,35
0.8,0.8684884713919727,0.5007385524372231,0.6352279825109307,0.7332124134735135,35
0.2,0.4497700314693779,0.9148202855736091,0.6030509574813372,0.7041793049971432,60
0.22,0.47354771784232363,0.8990645002461841,0.6203499235603873,0.7233736048467998,60
0.24,0.4962799669330394,0.8867552929591335,0.6363957597173144,0.7397234575312601,60
0.26,0.5158108500145053,0.8754308222550468,0.6491420226359985,0.7517751259225323,60
0.28,0.534330180042722,0.8621368783850321,0.659758854559156,0.7610595265365445,60
0.3,0.5536056158264199,0.8542589857213195,0.6718296224588577,0.771269421559412,60
0.32,0.5720480320213476,0.844411619891679,0.682044143965003,0.7792690898032371,60
0.34,0.5901354637026746,0.8365337272279665,0.6920570264765784,0.7868051880346606,60
0.36,0.6078643578643579,0.8296405711472181,0.7016448053300021,0.7937195725611313,60
0.38,0.6240120436582612,0.8163466272772033,0.7073378839590444,0.7968765221947514,60
0.4,0.6405944466171295,0.8064992614475628,0.7140366172624237,0.8008654952514107,60
0.42,0.6526825332795482,0.7966518956179222,0.7175166297117517,0.802403487915913,60
0.44,0.6632145816072909,0.7882816346627277,0.7203599550056243,0.8035659510212034,60
0.46,0.670362473347548,0.7740029542097489,0.7184643510054844,0.8008829387804537,60
0.48,0.6793859649122806,0.7626784835056623,0.7186267687311528,0.7998998478134371,60
0.5,0.6868008948545862,0.7557853274249139,0.7196436943272386,0.7999069239620114,60
0.52,0.6946740128558311,0.7449532250123092,0.7189356141601331,0.7983901597432312,60
0.54,0.704995287464656,0.7365829640571148,0.7204430532145437,0.7985499490517303,60
0.56,0.7181598062953995,0.7301821762678483,0.72412109375,0.8002515159414108,60
0.58,0.7294176706827309,0.7154111275233875,0.722346507581407,0.7976565441538506,60
0.6,0.7422199170124482,0.7045790251107829,0.722909825713564,0.7969196373325751,60
0.62,0.7531982942430704,0.6957163958641064,0.7233171231123624,0.7962762014971156,60
0.64,0.7648678414096917,0.6838995568685377,0.7221211333506629,0.794378477186497,60
0.66,0.7779690189328744,0.6676514032496307,0.7186009538950715,0.7907107283627832,60
0.68,0.7879146919431279,0.654849827671098,0.7152460338800752,0.7875407783631783,60
0.7,0.8031055900621118,0.6366322008862629,0.7102444383411151,0.7829997011561439,60
0.72,0.8083333333333333,0.620876415558838,0.7023113338902812,0.7771271560860143,60
0.74,0.8265510340226818,0.6100443131462334,0.7019830028328612,0.7760560246658084,60
0.76,0.8351877607788595,0.5913343180699163,0.692418564427789,0.7692634157194501,60
0.78,0.8469905728788978,0.5750861644510094,0.6850439882697947,0.7640359521007275,60
0.8,0.8560490045941807,0.5504677498769079,0.6700629307761462,0.7542891334054771,60
0.2,0.47303114712585465,0.9197439684884293,0.6247491638795987,0.7280315207861041,75
0.22,0.4964978448275862,0.9074347612013787,0.6418248302281038,0.7454954554669995,75
0.24,0.5175836642087351,0.8985721319547021,0.6568292244016556,0.7597807183837681,75
0.26,0.5394539453945395,0.8852781880846874,0.6703952274422073,0.7716275075895808,75
0.28,0.5606349206349206,0.8695224027572624,0.6817216753522486,0.7805722530720358,75
0.3,0.5827218145430287,0.8601674052191038,0.694770332073971,0.7907120448555413,75
0.32,0.6024390243902439,0.8513047759724274,0.7055702917771883,0.7985356321929873,75
0.34,0.618944323933478,0.8429345150172329,0.7137794454867625,0.804043015084374,75
0.36,0.6336448598130842,0.8345642540620384,0.7203569910752231,0.8081020913803953,75
0.38,0.6466950135291843,0.8237321516494338,0.7245560848852317,0.8100389813505636,75
0.4,0.6606714628297362,0.8138847858197932,0.7293183322303111,0.8123568314125704,75
0.42,0.6684448091916291,0.8020679468242246,0.7291853178155775,0.8110161481001693,75
0.44,0.678136802349979,0.7956671590349581,0.7322156773901224,0.8123834903909193,75
0.46,0.6886304909560723,0.7872968980797637,0.7346657477601654,0.8131003206976358,75
0.48,0.6974789915966386,0.776464795667159,0.7348555452003728,0.8120291892774297,75
0.5,0.7103949160236042,0.7705563761693747,0.7392536608408125,0.8141997567121383,75
0.52,0.7187210379981465,0.7636632200886263,0.7405108617808546,0.8142068328607124,75
0.54,0.726280834914611,0.7538158542589857,0.739792220343078,0.812625395935197,75
0.56,0.7369956246961594,0.7464303298867553,0.7416829745596869,0.8129433289362475,75
0.58,0.7471378795420607,0.7390448055145249,0.7430693069306931,0.8129270373383677,75
0.6,0.7572667006629271,0.7311669128508124,0.7439879759519038,0.8125531533951031,75
0.62,0.7681388012618297,0.7193500738552437,0.7429443173150267,0.8105440208848411,75
0.64,0.7769396551724138,0.7099950763170851,0.7419603807563674,0.8088745435061362,75
0.66,0.7848804891606448,0.6952240275726244,0.7373368146214099,0.8044970405242802,75
0.68,0.7931428571428571,0.6834071885770556,0.7341973023009786,0.8013738260175831,75
0.7,0.8049499116087213,0.672575086164451,0.7328326180257511,0.7994114290002291,75
0.72,0.8172371638141809,0.6582964057114722,0.7292064357785656,0.7958371511623314,75
0.74,0.8290816326530612,0.6400787789266371,0.7224228952486802,0.7901819919588622,75
0.76,0.8401585204755614,0.6262924667651403,0.7176304654442878,0.7861854490688447,75
0.78,0.8483606557377049,0.6115214180206795,0.7107296137339055,0.7810280886894841,75
0.8,0.8610909090909091,0.5829640571147218,0.6952436876100998,0.7702030624254536,75
