window_days,model,features_before_encoding,fixed_threshold,validation_selected_threshold,fixed_accuracy,fixed_balanced_accuracy,fixed_precision,fixed_recall,fixed_f1,fixed_f1_ci_95_lower,fixed_f1_ci_95_upper,tuned_precision,tuned_recall,tuned_f1,roc_auc,roc_auc_ci_95_lower,roc_auc_ci_95_upper,average_precision,average_precision_ci_95_lower,average_precision_ci_95_upper,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
35,XGBoost,51,0.6,0.52,0.8177634606534745,0.7657564435738039,0.7469244288224957,0.6277695716395865,0.6821829855537721,0.6648546977413173,0.6989660581010887,0.7040498442367601,0.6676514032496307,0.6853677028051555,0.846650699803667,0.8367539863667204,0.8571074154391347,0.7697374831644348,0.7525354549109529,0.7862708326163665,0.6889698358327558,0.01067915890705791,0.8424717271538281,0.0064008904080139865
60,XGBoost,51,0.6,0.56,0.8285013038809633,0.7914802183798186,0.7398843930635838,0.6932545544066963,0.7158108795119471,0.6989981214593394,0.7313458343050373,0.7184562097971301,0.7149187592319055,0.7166831194471865,0.8704251328121777,0.8602865719873249,0.8803379594811456,0.7981458394558391,0.7807130903906212,0.8134461912983513,0.7182002918955639,0.010390783460242874,0.8680214678484235,0.006162459429264974
75,XGBoost,51,0.6,0.6,0.8409265224727719,0.8075126317480128,0.7580477673935618,0.7188577055637617,0.7379327773565832,0.7231678024580069,0.7527081776290149,0.7580477673935618,0.7188577055637617,0.7379327773565832,0.8848458847752878,0.876054929089786,0.8936286883096131,0.8157806407048527,0.8013561009005558,0.830841818729222,0.7363132190306345,0.007544179186582085,0.8816196798600681,0.0060935460871902394
