model,settings,average_precision,roc_auc
XGBoost,"{'n_estimators': 240, 'max_depth': 4, 'learning_rate': 0.05}",0.7481364189878331,0.8318120034683978
XGBoost,"{'n_estimators': 320, 'max_depth': 5, 'learning_rate': 0.03}",0.746589478318081,0.8303531672564506
XGBoost,"{'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.03}",0.7452908763146638,0.8295505144008812
Logistic Regression,C=0.05,0.7247979280954155,0.8192624967776709
Logistic Regression,C=0.2,0.7307617592358262,0.822256333341145
Logistic Regression,C=1.0,0.7330921451022312,0.8241311429307961
