comparison,metric,mean_difference,ci_95_lower,ci_95_upper,ci_excludes_zero
day_60_minus_day_35,roc_auc,0.026726577601788447,0.012812781010613897,0.03948770247230514,True
day_60_minus_day_35,average_precision,0.030205844855627304,0.012657262797005641,0.048041394324626535,True
day_75_minus_day_60,roc_auc,0.018169351896278017,0.008681155256214454,0.027956113631156024,True
day_75_minus_day_60,average_precision,0.010754138769086314,-0.0042372125285042375,0.024508816245407437,False
day_75_minus_day_35,roc_auc,0.0453808371855799,0.030170231009555567,0.060700262763980925,True
day_75_minus_day_35,average_precision,0.04118383174371567,0.02206412499721199,0.05956120213465109,True
