task,segment_column,segment_value,rows,actual_attrition_rate,alert_rate,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
uci_binary_early,Gender,0,564,0.24468085106382978,0.26063829787234044,0.7414965986394558,0.7898550724637681,0.7649122807017544,388,38,29,109
uci_binary_early,Gender,1,321,0.45482866043613707,0.48909657320872274,0.7898089171974523,0.8493150684931506,0.8184818481848185,142,33,22,124
uci_binary_early,Tuition fees up to date,0,114,0.8596491228070176,0.956140350877193,0.8990825688073395,1.0,0.9468599033816425,5,11,0,98
uci_binary_early,Tuition fees up to date,1,771,0.24124513618677043,0.2529182879377432,0.6923076923076923,0.7258064516129032,0.7086614173228346,525,60,51,135
uci_binary_early,Debtor,0,795,0.2918238993710692,0.2993710691823899,0.7647058823529411,0.7844827586206896,0.774468085106383,507,56,50,182
uci_binary_early,Debtor,1,90,0.5777777777777777,0.7333333333333333,0.7727272727272727,0.9807692307692307,0.864406779661017,23,15,1,51
uci_binary_early,Scholarship holder,0,654,0.38990825688073394,0.42813455657492355,0.775,0.8509803921568627,0.811214953271028,336,63,38,217
uci_binary_early,Scholarship holder,1,231,0.12554112554112554,0.1038961038961039,0.6666666666666666,0.5517241379310345,0.6037735849056604,194,8,13,16
oulad_binary_early,gender,F,3000,0.30366666666666664,0.27466666666666667,0.7912621359223301,0.7156970362239298,0.7515850144092219,1917,172,259,652
oulad_binary_early,gender,M,3519,0.3182722364308042,0.3131571469167377,0.7332123411978222,0.7214285714285714,0.7272727272727273,2105,294,312,808
oulad_binary_early,disability,N,5899,0.300220376334972,0.28174266824885574,0.7587244283995187,0.7120271033314511,0.7346344305272356,3727,401,510,1261
oulad_binary_early,disability,Y,620,0.41935483870967744,0.4258064516129032,0.7537878787878788,0.7653846153846153,0.7595419847328244,295,65,61,199
oulad_binary_early,age_band,0-35,4593,0.3222294796429349,0.3067711735249292,0.752306600425834,0.7162162162162162,0.7338179300796123,2764,349,420,1060
oulad_binary_early,age_band,35-55,1875,0.28586666666666666,0.2693333333333333,0.7702970297029703,0.7257462686567164,0.7473583093179635,1223,116,147,389
oulad_binary_early,age_band,55<=,51,0.29411764705882354,0.23529411764705882,0.9166666666666666,0.7333333333333333,0.8148148148148148,35,1,4,11
oulad_binary_early,highest_education,A Level or Equivalent,2750,0.27745454545454545,0.25672727272727275,0.7606232294617564,0.7038007863695938,0.7311095983662356,1818,169,226,537
oulad_binary_early,highest_education,HE Qualification,942,0.28556263269639065,0.23991507430997877,0.7876106194690266,0.6617100371747212,0.7191919191919192,625,48,91,178
oulad_binary_early,highest_education,Lower Than A Level,2689,0.3532911863146151,0.356638155448122,0.7434827945776851,0.7505263157894737,0.7469879518072289,1493,246,237,713
oulad_binary_early,highest_education,No Formal quals,74,0.4864864864864865,0.3783783783783784,0.9285714285714286,0.7222222222222222,0.8125,36,2,10,26
oulad_binary_early,highest_education,Post Graduate Qualification,64,0.203125,0.109375,0.8571428571428571,0.46153846153846156,0.6,50,1,7,6
