task,model,model_label,scenario,changed_prediction_rate,mean_abs_score_shift,score_correlation_with_original,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision
uci_binary_early,logistic_regression,UCI early warning - Logistic Regression,original,0.0,0.0,1.0,0.8621468926553673,0.8511430479716904,0.7664473684210527,0.8204225352112676,0.7925170068027211,0.9109289681516721,0.8697908296442151
uci_binary_early,logistic_regression,UCI early warning - Logistic Regression,missing_10pct,0.05310734463276836,0.05021802468477709,0.9348750355019751,0.8429378531073446,0.8174990040074055,0.7598566308243727,0.7464788732394366,0.7531083481349912,0.8873942490215838,0.8336885149844718
uci_binary_early,logistic_regression,UCI early warning - Logistic Regression,numeric_noise_5pct,0.004519774011299435,0.01093976781658509,0.9987318492750168,0.8598870056497175,0.847621921211127,0.7649006622516556,0.8133802816901409,0.78839590443686,0.9116554568676619,0.8695312089441999
oulad_binary_early,xgboost,OULAD early warning - XGBoost,original,0.0,0.0,1.0,0.8409265224727719,0.8075126317480128,0.7580477673935618,0.7188577055637617,0.7379327773565832,0.8848458847752878,0.8157806407048527
oulad_binary_early,xgboost,OULAD early warning - XGBoost,missing_10pct,0.03420770056757171,0.039042726159095764,0.9729229561961579,0.8355576008590274,0.7909444058273236,0.7704455724760293,0.672575086164451,0.7181913774973712,0.8763372275189114,0.7951891924974479
oulad_binary_early,xgboost,OULAD early warning - XGBoost,numeric_noise_5pct,0.023163061819297438,0.036445654928684235,0.9872354269291029,0.8380119650253106,0.8051263240625913,0.7511591962905718,0.7178729689807977,0.7341389728096677,0.8778703381894362,0.8039580655123852
