task,model_label,test_rows,actual_attrition_cases,alerts,alerts_per_1000,true_at_risk_found_per_1000,missed_at_risk_per_1000,false_alerts_per_1000,advisor_weeks_per_1000,precision,recall,f1,intervention_cost_assumption,retained_student_value_assumption,retention_effect_assumption,scenario_net_value_per_1000,break_even_retained_students_per_1000,break_even_capture_rate_of_found_at_risk
uci_binary_early,UCI early warning - Logistic Regression,885,284,304,343.5028248587571,263.2768361581921,57.6271186440678,80.22598870056497,13.740112994350284,0.7664473684210527,0.8204225352112676,0.7925170068027211,100,6000,0.1,123615.81920903956,5.725047080979285,0.021745350500715306
oulad_binary_early,OULAD early warning - XGBoost,6519,2031,1926,295.4440865163368,223.96073017333944,87.59012118423071,71.48335634299738,11.817763460653474,0.7580477673935618,0.7188577055637617,0.7379327773565832,100,6000,0.1,104832.02945236998,4.9240681086056135,0.02198630136986301
