feature,importance,problem_type
categorical__Father's occupation_171,0.0,binary
categorical__Father's occupation_161,0.0,binary
categorical__Father's occupation_154,0.0,binary
categorical__Father's occupation_152,0.0,binary
categorical__Father's occupation_151,0.0,binary
categorical__Father's occupation_144,0.0,binary
categorical__Father's occupation_192,0.0,binary
categorical__Nacionality_105,0.0,binary
categorical__Mother's occupation_193,0.0,binary
categorical__Mother's occupation_192,0.0,binary
categorical__Mother's qualification_30,0.0,binary
categorical__Previous qualification_9,0.0,binary
categorical__Mother's qualification_35,0.0,binary
categorical__Mother's qualification_36,0.0,binary
categorical__Previous qualification_6,0.0,binary
categorical__Previous qualification_5,0.0,binary
categorical__Mother's qualification_39,0.0,binary
categorical__Mother's qualification_40,0.0,binary
categorical__Mother's qualification_41,0.0,binary
categorical__Mother's qualification_42,0.0,binary
categorical__Mother's qualification_43,0.0,binary
categorical__Mother's qualification_44,0.0,binary
categorical__Mother's qualification_5,0.0,binary
categorical__Mother's qualification_6,0.0,binary
categorical__Mother's qualification_9,0.0,binary
categorical__Previous qualification_43,0.0,binary
categorical__Father's qualification_10,0.0,binary
categorical__Mother's qualification_29,0.0,binary
categorical__Mother's qualification_26,0.0,binary
categorical__Mother's qualification_22,0.0,binary
categorical__Nacionality_24,0.0,binary
categorical__Nacionality_11,0.0,binary
categorical__Nacionality_13,0.0,binary
categorical__Nacionality_14,0.0,binary
categorical__Nacionality_17,0.0,binary
categorical__Nacionality_2,0.0,binary
categorical__Nacionality_21,0.0,binary
categorical__Nacionality_22,0.0,binary
categorical__Nacionality_25,0.0,binary
categorical__Nacionality_100,0.0,binary
categorical__Nacionality_6,0.0,binary
categorical__Nacionality_62,0.0,binary
categorical__Mother's qualification_10,0.0,binary
categorical__Mother's qualification_11,0.0,binary
categorical__Nacionality_103,0.0,binary
categorical__Mother's qualification_14,0.0,binary
categorical__Nacionality_101,0.0,binary
categorical__Father's qualification_11,0.0,binary
categorical__Father's qualification_12,0.0,binary
categorical__Father's qualification_14,0.0,binary
categorical__Mother's occupation_141,0.0,binary
categorical__Mother's occupation_10,0.0,binary
categorical__Mother's occupation_122,0.0,binary
