feature,importance,problem_type
categorical__Father's qualification_40,7.776912143647785e-05,binary
categorical__Mother's occupation_123,7.687566111839889e-05,binary
categorical__Father's occupation_171,5.399214444042491e-05,binary
categorical__Father's occupation_163,4.675271864586949e-05,binary
categorical__Previous qualification_6,4.4357400462756654e-05,binary
categorical__Nacionality_22,4.2301849004520353e-05,binary
categorical__Previous qualification_43,4.165968432463278e-05,binary
categorical__Previous qualification_9,3.8455387599486446e-05,binary
categorical__Mother's qualification_39,3.577716438307298e-05,binary
categorical__Mother's qualification_41,3.459264850663657e-05,binary
categorical__Previous qualification_38,3.364942065760579e-05,binary
categorical__Father's qualification_36,3.353458037289881e-05,binary
categorical__Course_33,3.270722996110055e-05,binary
categorical__Mother's occupation_141,3.182571664247588e-05,binary
categorical__Marital Status_3,2.876375997971128e-05,binary
categorical__Father's qualification_11,2.64350666696759e-05,binary
categorical__Father's qualification_6,2.5327692550345135e-05,binary
categorical__Mother's occupation_10,2.5033720850431645e-05,binary
categorical__Father's occupation_123,2.1167796377973785e-05,binary
categorical__Mother's occupation_144,2.1029252629074677e-05,binary
categorical__Father's occupation_182,2.023885521965598e-05,binary
categorical__Father's qualification_9,1.8012377638994677e-05,binary
categorical__Father's occupation_144,1.6720590656344557e-05,binary
categorical__Nacionality_100,1.6008904139269587e-05,binary
categorical__Mother's occupation_175,1.4051278718813643e-05,binary
categorical__Marital Status_6,1.3836417737005497e-05,binary
categorical__Nacionality_103,1.3457547525689853e-05,binary
categorical__Father's qualification_29,1.1931966814290591e-05,binary
categorical__Mother's occupation_134,9.521210031638753e-06,binary
categorical__Mother's occupation_192,9.251170024513889e-06,binary
categorical__Father's occupation_192,8.822534548692807e-06,binary
categorical__Mother's occupation_193,8.155657788386637e-06,binary
categorical__Nacionality_6,7.480812546635928e-06,binary
categorical__Mother's qualification_6,7.018511035530665e-06,binary
categorical__Application mode_10,6.520920714300692e-06,binary
categorical__Mother's qualification_42,6.509306109370659e-06,binary
categorical__Nacionality_24,5.807436794347292e-06,binary
categorical__Nacionality_25,4.4874797888652685e-06,binary
categorical__Mother's qualification_11,3.666688825236745e-06,binary
categorical__Father's occupation_151,3.645748616491169e-06,binary
categorical__Mother's qualification_35,3.615961862716714e-06,binary
categorical__Previous qualification_15,3.5635631931723164e-06,binary
categorical__Previous qualification_10,3.0243918408548695e-06,binary
categorical__Father's qualification_30,1.6508637678426223e-06,binary
categorical__Father's qualification_43,1.4159462816643158e-06,binary
categorical__Father's qualification_14,1.3453908079304837e-07,binary
categorical__Mother's qualification_36,0.0,binary
categorical__Previous qualification_5,0.0,binary
categorical__Mother's occupation_171,0.0,binary
categorical__Mother's qualification_43,0.0,binary
categorical__Mother's qualification_29,0.0,binary
categorical__Mother's qualification_44,0.0,binary
categorical__Father's qualification_10,0.0,binary
categorical__Father's qualification_20,0.0,binary
categorical__Mother's qualification_30,0.0,binary
categorical__Mother's qualification_10,0.0,binary
categorical__Mother's qualification_26,0.0,binary
categorical__Mother's qualification_22,0.0,binary
categorical__Nacionality_109,0.0,binary
categorical__Nacionality_11,0.0,binary
categorical__Nacionality_13,0.0,binary
categorical__Nacionality_14,0.0,binary
categorical__Nacionality_17,0.0,binary
categorical__Nacionality_2,0.0,binary
categorical__Nacionality_21,0.0,binary
categorical__Application mode_2,0.0,binary
categorical__Application mode_26,0.0,binary
categorical__Application mode_27,0.0,binary
categorical__Nacionality_62,0.0,binary
categorical__Nacionality_101,0.0,binary
categorical__Father's qualification_26,0.0,binary
categorical__Application mode_57,0.0,binary
categorical__Mother's qualification_14,0.0,binary
categorical__Father's qualification_25,0.0,binary
categorical__Father's occupation_183,0.0,binary
categorical__Father's occupation_195,0.0,binary
categorical__Father's occupation_194,0.0,binary
categorical__Father's occupation_121,0.0,binary
categorical__Father's occupation_112,0.0,binary
categorical__Father's occupation_103,0.0,binary
categorical__Father's occupation_102,0.0,binary
categorical__Father's occupation_101,0.0,binary
categorical__Father's qualification_41,0.0,binary
categorical__Father's qualification_44,0.0,binary
categorical__Mother's occupation_122,0.0,binary
categorical__Mother's occupation_125,0.0,binary
