feature,importance,problem_type
categorical__Father's qualification_3,0.21979953757166565,binary
categorical__Father's qualification_26,0.2167602153830253,binary
categorical__Father's qualification_1,0.21428170224987267,binary
categorical__Father's qualification_12,0.20890844571578318,binary
categorical__Mother's qualification_6,0.2050058334713396,binary
categorical__Father's occupation_161,0.20184565626623183,binary
categorical__Mother's occupation_175,0.19941135581597944,binary
categorical__Mother's qualification_37,0.19753560604599654,binary
categorical__Application mode_57,0.19383194147992402,binary
categorical__Father's occupation_103,0.19043659777413408,binary
categorical__Course_9147,0.19014225569352794,binary
categorical__Application mode_53,0.1891729063114753,binary
categorical__Displaced_0,0.18913106078354527,binary
categorical__Mother's occupation_122,0.188854621647394,binary
categorical__Father's occupation_181,0.18791627481288412,binary
categorical__Father's occupation_5,0.18757361044332016,binary
categorical__Mother's occupation_99,0.18676218793249963,binary
categorical__Nacionality_21,0.18323556950999487,binary
categorical__Mother's qualification_5,0.18303562475668136,binary
categorical__Father's occupation_182,0.1827774947407341,binary
categorical__Father's occupation_102,0.18013231080084086,binary
categorical__Mother's occupation_3,0.17812367796237782,binary
categorical__Mother's occupation_152,0.17609513609401117,binary
categorical__Application mode_16,0.1695828635863034,binary
categorical__Nacionality_103,0.16877764316920835,binary
categorical__Application mode_27,0.1676210767869465,binary
categorical__Displaced_1,0.16757088032815592,binary
categorical__Mother's occupation_193,0.1616344981338031,binary
categorical__Father's occupation_192,0.158782234297593,binary
categorical__Father's occupation_112,0.14791222789558411,binary
categorical__Previous qualification_3,0.14785519951993664,binary
categorical__Father's occupation_121,0.14307030971122714,binary
categorical__Daytime/evening attendance_0,0.1415105837001644,binary
categorical__Course_33,0.14112797062380514,binary
categorical__Father's occupation_135,0.14014882864378725,binary
categorical__Mother's occupation_143,0.13998018686702562,binary
categorical__Mother's occupation_131,0.13164209071977928,binary
categorical__Mother's occupation_6,0.12694568356106117,binary
categorical__Nacionality_17,0.1266158923473502,binary
categorical__Father's occupation_132,0.12327652406671295,binary
categorical__Mother's qualification_14,0.12324534075788003,binary
categorical__Mother's qualification_36,0.12050122392815645,binary
categorical__Course_9070,0.12012107972398646,binary
categorical__Daytime/evening attendance_1,0.11995040324476329,binary
categorical__Application mode_1,0.11848801131633475,binary
numeric__Curricular units 1st sem (grade),0.11844658062704552,binary
categorical__International_1,0.11820522984560178,binary
categorical__Mother's qualification_43,0.11472743514658953,binary
categorical__Father's occupation_172,0.1098050567194004,binary
categorical__Application mode_26,0.1097273404167683,binary
categorical__Mother's qualification_1,0.10739877699377051,binary
categorical__Application mode_2,0.10382070960156037,binary
categorical__Previous qualification_6,0.10266863760340153,binary
numeric__Curricular units 1st sem (evaluations),0.10264660928000248,binary
categorical__Mother's qualification_42,0.10144615830780837,binary
categorical__Previous qualification_42,0.10114113648566649,binary
categorical__Previous qualification_39,0.10071664870326323,binary
numeric__Previous qualification (grade),0.09822987919769023,binary
categorical__Mother's occupation_125,0.09696539641634026,binary
categorical__Father's occupation_124,0.09696539641634026,binary
categorical__International_0,0.096645049390212,binary
categorical__Nacionality_1,0.096645049390199,binary
categorical__Mother's qualification_29,0.0961000302547406,binary
categorical__Father's qualification_25,0.091410188734764,binary
numeric__GDP,0.08790458234328707,binary
numeric__Application order,0.08748761644580147,binary
categorical__Mother's occupation_9,0.08604497020230786,binary
categorical__Father's occupation_151,0.08529641164816813,binary
categorical__Nacionality_14,0.08380298004895635,binary
categorical__Educational special needs_0,0.08083209439497158,binary
categorical__Father's qualification_6,0.07584699031679616,binary
categorical__Father's occupation_131,0.07212959955038703,binary
categorical__Father's occupation_99,0.07075465346364007,binary
categorical__Father's qualification_27,0.0694373106894448,binary
categorical__Father's qualification_20,0.06887440492218454,binary
categorical__Previous qualification_40,0.06837491985149294,binary
categorical__Father's occupation_2,0.06822090175702494,binary
categorical__Father's qualification_35,0.06299174962039171,binary
categorical__Course_9670,0.0620784351092775,binary
categorical__Mother's qualification_22,0.059856775233242294,binary
numeric__Inflation rate,0.05976196441522013,binary
categorical__Educational special needs_1,0.05927191393958182,binary
numeric__Admission grade,0.056593181642617355,binary
categorical__Nacionality_62,0.0551272963882119,binary
categorical__Mother's occupation_153,0.05331123858653124,binary
categorical__Marital Status_2,0.05004961885689143,binary
categorical__Previous qualification_10,0.04954664672321007,binary
categorical__Nacionality_2,0.04842150409530151,binary
categorical__Mother's qualification_38,0.04553445018035405,binary
categorical__Father's qualification_36,0.04440837177300398,binary
categorical__Previous qualification_9,0.04433535778240831,binary
categorical__Marital Status_5,0.041187035306324324,binary
categorical__Previous qualification_1,0.03948569207952831,binary
categorical__Father's occupation_122,0.03913452368770114,binary
categorical__Father's occupation_183,0.03308218350164762,binary
categorical__Previous qualification_19,0.03229528442480338,binary
numeric__Curricular units 1st sem (without evaluations),0.027353113381440527,binary
categorical__Father's occupation_101,0.02677275061689794,binary
categorical__Father's occupation_154,0.025905507222079207,binary
categorical__Mother's qualification_30,0.023086945736757864,binary
categorical__Mother's qualification_41,0.01919457828262099,binary
categorical__Father's occupation_174,0.01284303400459952,binary
categorical__Nacionality_13,0.011840105094815034,binary
categorical__Father's occupation_143,0.011525700624176296,binary
categorical__Father's occupation_195,0.010541959683121665,binary
categorical__Father's qualification_44,0.0074356071071231935,binary
categorical__Father's qualification_33,0.0035307072543577438,binary
categorical__Previous qualification_5,0.0016387687596468644,binary
