task,model,selected_by_validation,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_balanced_accuracy,test_accuracy,test_macro_f1,test_weighted_f1,test_balanced_accuracy,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_average_precision,test_precision,test_recall,test_f1,test_roc_auc,test_average_precision,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_average_precision_mean,cv_average_precision_std
uci_multiclass,logistic_regression,False,0.7570621468926554,0.7158514610459928,0.7625565232381103,0.7207370407023376,0.7310734463276836,0.6917708114676183,0.7427531240258501,0.7026345872268243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uci_multiclass,decision_tree,False,0.6937853107344633,0.6550085578307551,0.7107686989757134,0.6628973972848541,0.6463276836158192,0.6248852292869999,0.6696864849736329,0.6497628733212043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uci_multiclass,random_forest,False,0.7706214689265537,0.7034563139577165,0.7635479050615023,0.6961460033906923,0.7627118644067796,0.7044966799933933,0.760469743964341,0.7001778450090966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uci_multiclass,gradient_boosting,False,0.7819209039548023,0.7100810286940596,0.770493837737387,0.6995770118591397,0.7570621468926554,0.6802343374680246,0.7465858401102756,0.6734209959186902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uci_multiclass,xgboost,True,0.7864406779661017,0.7202568053415511,0.7771017732626466,0.7093886492637488,0.768361581920904,0.7043697177393596,0.762048512508798,0.6968175817380926,0.782423145462246,0.01368256725826311,0.7051382099813028,0.01735217093718812,0.7155778008076487,0.017813173564783045,0.7731275037506955,0.014804096045328953,,,,,,,,,,,,,,,,,,,,
uci_binary_early,logistic_regression,True,0.8395480225988701,,,0.827075179864545,0.8576271186440678,,,0.8422435612008156,0.8420440470197141,0.012357743177251084,0.8278316866131321,0.009603085111136446,,,,,0.7305194805194806,0.7922535211267606,0.7601351351351351,0.9043261231281198,0.855143881744151,0.7668918918918919,0.7992957746478874,0.7827586206896552,0.9101263152961028,0.8686491987635167,0.7391503582586069,0.028996395212749184,0.7880516268645181,0.01694872608416707,0.7624108968538361,0.014104218274547786,0.9033491358339202,0.006265827691704119,0.8575845968955725,0.0105105755418908
uci_binary_early,decision_tree,False,0.8158192090395481,,,0.7910319655035036,0.7943502824858757,,,0.7882256098989946,,,,,,,,,0.7093425605536332,0.721830985915493,0.7155322862129145,0.8455859951723654,0.7649767284071619,0.6517857142857143,0.7711267605633803,0.7064516129032258,0.8537912165170726,0.7689286796180699,,,,,,,,,,
uci_binary_early,random_forest,False,0.8508474576271187,,,0.8149650816713927,0.847457627118644,,,0.8124692414051697,,,,,,,,,0.7992125984251969,0.7147887323943662,0.7546468401486989,0.9023810081788568,0.8398819662040671,0.7898832684824902,0.7147887323943662,0.7504621072088724,0.9056795013006491,0.8639984993633888,,,,,,,,,,
uci_binary_early,gradient_boosting,False,0.848587570621469,,,0.8003005554123409,0.8610169491525423,,,0.8196667525954395,,,,,,,,,0.8289473684210527,0.6654929577464789,0.73828125,0.9093851796301938,0.8556420699220832,0.8368200836820083,0.704225352112676,0.7648183556405354,0.9069801504534696,0.8642615035139751,,,,,,,,,,
uci_binary_early,xgboost,False,0.8587570621468926,,,0.816145625834876,0.8745762711864407,,,0.8380076632841977,,,,,,,,,0.8354430379746836,0.6971830985915493,0.7600767754318618,0.9061189097982236,0.8548404707665104,0.8530612244897959,0.7359154929577465,0.7901701323251418,0.915574980666026,0.8786204625675436,,,,,,,,,,
