feature,importance,problem_type
categorical__Previous qualification_42,0.000262312269473214,multiclass
categorical__Previous qualification_2,0.00023258590825990633,multiclass
categorical__Father's qualification_5,0.00020672856678655103,multiclass
categorical__Previous qualification_12,0.00019173169983265775,multiclass
categorical__Father's occupation_193,0.00013730655815465516,multiclass
categorical__Mother's qualification_5,0.0001335361626877838,multiclass
categorical__Mother's qualification_40,0.0001245728430175325,multiclass
categorical__Mother's occupation_141,9.97939173619707e-05,multiclass
categorical__Nacionality_6,8.51226738711819e-05,multiclass
categorical__Nacionality_41,7.474318906884318e-05,multiclass
categorical__Nacionality_26,7.25503141435946e-05,multiclass
categorical__Mother's occupation_99,7.136287202062929e-05,multiclass
categorical__Marital Status_5,6.046430000504742e-05,multiclass
categorical__Mother's occupation_194,5.4419896557446877e-05,multiclass
categorical__Course_33,5.162629966225563e-05,multiclass
categorical__Father's occupation_99,4.497074123505072e-05,multiclass
categorical__Father's occupation_144,3.8155684701301736e-05,multiclass
categorical__Father's occupation_183,3.5795382901735985e-05,multiclass
categorical__Previous qualification_38,3.311731271498176e-05,multiclass
categorical__Previous qualification_6,3.060323695512268e-05,multiclass
categorical__Father's occupation_175,3.044968991576844e-05,multiclass
categorical__Mother's occupation_192,3.030987097791597e-05,multiclass
categorical__Mother's qualification_9,2.874001316129801e-05,multiclass
categorical__Previous qualification_4,2.8514266747771585e-05,multiclass
categorical__Father's occupation_171,2.812903377719471e-05,multiclass
categorical__Mother's occupation_144,2.6045845612129532e-05,multiclass
categorical__Father's occupation_192,2.4498377953618352e-05,multiclass
categorical__Nacionality_22,2.3638571729963004e-05,multiclass
categorical__Application mode_10,2.3203200754392227e-05,multiclass
categorical__Application mode_2,2.0163592853828753e-05,multiclass
categorical__Father's qualification_11,1.8476387607658237e-05,multiclass
categorical__Father's qualification_36,1.8303871978257927e-05,multiclass
categorical__Mother's qualification_41,1.669739014193711e-05,multiclass
categorical__Mother's qualification_39,1.6607311381518703e-05,multiclass
categorical__Previous qualification_9,1.617189490921011e-05,multiclass
categorical__Marital Status_3,1.544858745695959e-05,multiclass
categorical__Father's qualification_9,1.464944213630035e-05,multiclass
categorical__Mother's occupation_123,1.4534799441951565e-05,multiclass
categorical__Mother's occupation_122,1.1909839792955207e-05,multiclass
categorical__Nacionality_100,1.1585781598936206e-05,multiclass
categorical__Father's occupation_135,1.0954518513924035e-05,multiclass
categorical__Father's qualification_6,8.37000252832272e-06,multiclass
categorical__Father's occupation_163,8.176854588101882e-06,multiclass
categorical__Father's occupation_182,5.9915972518569905e-06,multiclass
categorical__Nacionality_21,5.585442616482894e-06,multiclass
categorical__Mother's occupation_193,5.2549688613658125e-06,multiclass
categorical__Marital Status_6,4.35366218907001e-06,multiclass
categorical__Mother's qualification_6,3.979777877325072e-06,multiclass
categorical__Father's occupation_151,3.849542739762884e-06,multiclass
categorical__Previous qualification_43,3.5544192828027696e-06,multiclass
categorical__Father's occupation_122,3.360286396555156e-06,multiclass
categorical__Father's qualification_30,3.2955492879154078e-06,multiclass
