comparison,metric,observed_difference,mean_difference,ci_95_lower,ci_95_upper,p_value_two_sided,statistically_significant_0_05
uci_day_one_xgboost_minus_logistic,roc_auc,-0.0005624428768952194,-0.00035826065853840805,-0.014596504888387036,0.013053894942204027,0.9330669330669331,False
uci_day_one_xgboost_minus_logistic,average_precision,0.006033635394137815,0.006185602750955321,-0.014787962902894882,0.02834989939192534,0.5834165834165834,False
dynamic_landmark_xgboost_minus_logistic,roc_auc,0.002769631083375579,0.002569697409996891,-0.0064019410521116895,0.012545926687254318,0.5874125874125874,False
dynamic_landmark_xgboost_minus_logistic,average_precision,0.018693307114347302,0.01815545607480346,0.002063149415876584,0.033991757805743414,0.03296703296703297,True
presentation_holdout_2014J_xgboost_minus_logistic,roc_auc,0.06913768005068233,0.06919094956750783,0.049097652603660454,0.08866739290832844,0.000999000999000999,True
presentation_holdout_2014J_xgboost_minus_logistic,average_precision,0.011113031708181342,0.01143423379754666,-0.008988800914458377,0.028691543381787015,0.3006993006993007,False
