snapshot_day,threshold,weighted_f1,model,training_scenario
0,0.57,0.3694969502989322,Logistic Regression,oulad_source
0,0.64,0.3694248449861037,Logistic Regression,oulad_source
0,0.66,0.3673931912431298,Logistic Regression,oulad_source
0,0.55,0.36665491219409085,Logistic Regression,oulad_source
0,0.53,0.3637334209337668,Logistic Regression,oulad_source
0,0.54,0.3632052579764011,Logistic Regression,oulad_source
0,0.52,0.36309741340804896,Logistic Regression,oulad_source
35,0.55,0.36100487439070894,Logistic Regression,oulad_source
0,0.51,0.3607978488582101,Logistic Regression,oulad_source
0,0.49,0.3600588305441834,Logistic Regression,oulad_source
35,0.51,0.360021069265217,Logistic Regression,oulad_source
0,0.67,0.35996175705104533,Logistic Regression,oulad_source
35,0.49,0.35984083256810945,Logistic Regression,oulad_source
35,0.54,0.35980456501131086,Logistic Regression,oulad_source
0,0.5,0.3595263724434885,Logistic Regression,oulad_source
0,0.48,0.3595081166043675,Logistic Regression,oulad_source
35,0.56,0.3594099930496643,Logistic Regression,oulad_source
35,0.53,0.35901040202418527,Logistic Regression,oulad_source
0,0.47,0.3588219044737646,Logistic Regression,oulad_source
0,0.44,0.35877792499114614,Logistic Regression,oulad_source
0,0.45,0.35863245619791406,Logistic Regression,oulad_source
0,0.43,0.3585521572123397,Logistic Regression,oulad_source
35,0.5,0.35850136759748835,Logistic Regression,oulad_source
0,0.05,0.3584957596571032,Logistic Regression,oulad_source
0,0.06,0.3584957596571032,Logistic Regression,oulad_source
0,0.07,0.3584957596571032,Logistic Regression,oulad_source
0,0.08,0.3584957596571032,Logistic Regression,oulad_source
0,0.09,0.3584957596571032,Logistic Regression,oulad_source
0,0.1,0.3584957596571032,Logistic Regression,oulad_source
0,0.11,0.3584957596571032,Logistic Regression,oulad_source
0,0.12,0.3584957596571032,Logistic Regression,oulad_source
0,0.13,0.3584957596571032,Logistic Regression,oulad_source
0,0.14,0.3584957596571032,Logistic Regression,oulad_source
0,0.15,0.3584957596571032,Logistic Regression,oulad_source
0,0.16,0.3584957596571032,Logistic Regression,oulad_source
0,0.17,0.3584957596571032,Logistic Regression,oulad_source
0,0.18,0.3584957596571032,Logistic Regression,oulad_source
0,0.19,0.3584957596571032,Logistic Regression,oulad_source
0,0.2,0.3584957596571032,Logistic Regression,oulad_source
0,0.21,0.3584957596571032,Logistic Regression,oulad_source
0,0.22,0.3584957596571032,Logistic Regression,oulad_source
0,0.23,0.3584957596571032,Logistic Regression,oulad_source
0,0.24,0.3584957596571032,Logistic Regression,oulad_source
0,0.25,0.3584957596571032,Logistic Regression,oulad_source
0,0.26,0.3584957596571032,Logistic Regression,oulad_source
0,0.27,0.3584957596571032,Logistic Regression,oulad_source
0,0.28,0.3584957596571032,Logistic Regression,oulad_source
0,0.29,0.3584957596571032,Logistic Regression,oulad_source
0,0.3,0.3584957596571032,Logistic Regression,oulad_source
0,0.31,0.3584957596571032,Logistic Regression,oulad_source
0,0.32,0.3584957596571032,Logistic Regression,oulad_source
0,0.33,0.3584957596571032,Logistic Regression,oulad_source
0,0.34,0.3584957596571032,Logistic Regression,oulad_source
0,0.35,0.3584957596571032,Logistic Regression,oulad_source
0,0.36,0.3584957596571032,Logistic Regression,oulad_source
0,0.37,0.3584957596571032,Logistic Regression,oulad_source
0,0.38,0.3584957596571032,Logistic Regression,oulad_source
0,0.39,0.3584957596571032,Logistic Regression,oulad_source
0,0.4,0.3584957596571032,Logistic Regression,oulad_source
0,0.41,0.3584957596571032,Logistic Regression,oulad_source
0,0.42,0.3584957596571032,Logistic Regression,oulad_source
0,0.46,0.35843037376429426,Logistic Regression,oulad_source
35,0.46,0.35837064057922485,Logistic Regression,oulad_source
35,0.47,0.35807959858592564,Logistic Regression,oulad_source
35,0.45,0.3573103154305127,Logistic Regression,oulad_source
35,0.57,0.35678591258825254,Logistic Regression,oulad_source
35,0.48,0.3566849008881836,Logistic Regression,oulad_source
35,0.52,0.3555706521739205,Logistic Regression,oulad_source
35,0.44,0.35468790136140793,Logistic Regression,oulad_source
0,0.68,0.3546485515382905,Logistic Regression,oulad_source
35,0.43,0.35237240829344885,Logistic Regression,oulad_source
35,0.58,0.35057140508099127,Logistic Regression,oulad_source
0,0.69,0.34940915362006064,Logistic Regression,oulad_source
35,0.42,0.3493935471498972,Logistic Regression,oulad_source
35,0.59,0.3487490523123659,Logistic Regression,oulad_source
35,0.41,0.34644940283305525,Logistic Regression,oulad_source
35,0.6,0.3455515702913215,Logistic Regression,oulad_source
35,0.4,0.3435566436679101,Logistic Regression,oulad_source
35,0.61,0.34159679183376696,Logistic Regression,oulad_source
35,0.62,0.3415136755339161,Logistic Regression,oulad_source
0,0.7,0.34127830395785186,Logistic Regression,oulad_source
60,0.45,0.3398022702306797,Logistic Regression,oulad_source
35,0.39,0.33871664219706205,Logistic Regression,oulad_source
35,0.63,0.336564559906949,Logistic Regression,oulad_source
60,0.43,0.33632585203656934,Logistic Regression,oulad_source
35,0.64,0.335416246724459,Logistic Regression,oulad_source
60,0.44,0.3350776207919011,Logistic Regression,oulad_source
60,0.41,0.3349035101048405,Logistic Regression,oulad_source
60,0.42,0.3343903599175457,Logistic Regression,oulad_source
0,0.71,0.33345604230113013,Logistic Regression,oulad_source
35,0.38,0.3322834645669089,Logistic Regression,oulad_source
60,0.49,0.3320030201704206,Logistic Regression,oulad_source
60,0.48,0.3311890433699903,Logistic Regression,oulad_source
60,0.46,0.3309710783374788,Logistic Regression,oulad_source
60,0.47,0.3308838133068479,Logistic Regression,oulad_source
60,0.4,0.33027657545300465,Logistic Regression,oulad_source
60,0.39,0.3301094246381856,Logistic Regression,oulad_source
35,0.37,0.3293018800143479,Logistic Regression,oulad_source
60,0.38,0.32892043128155396,Logistic Regression,oulad_source
35,0.36,0.32635496627120325,Logistic Regression,oulad_source
60,0.37,0.32338079926503627,Logistic Regression,oulad_source
35,0.35,0.32304573102047646,Logistic Regression,oulad_source
60,0.34,0.3228993165240285,Logistic Regression,oulad_source
60,0.35,0.32165221579960673,Logistic Regression,oulad_source
60,0.36,0.32127700006333565,Logistic Regression,oulad_source
35,0.65,0.320677753373086,Logistic Regression,oulad_source
35,0.34,0.31976362442545153,Logistic Regression,oulad_source
60,0.5,0.31929195608334965,Logistic Regression,oulad_source
0,0.72,0.31864334318999876,Logistic Regression,oulad_source
60,0.33,0.31827696375453673,Logistic Regression,oulad_source
60,0.32,0.31739453830622993,Logistic Regression,oulad_source
