feature_set,model,training_scenario,test_institution,snapshot_day,test_rows,test_students,prevalence,threshold,roc_auc,average_precision,precision,recall,f1,train_rows,train_students
portable_dynamic_16,Logistic Regression,uci_source,OULAD_dataset,0,5811,5217,0.23748064016520393,0.42,0.49339886308256387,0.23614393998258354,0.23406720741599074,0.8782608695652174,0.3696248856358646,2654,2654
portable_dynamic_16,Logistic Regression,uci_source,OULAD_dataset,35,5408,4919,0.17492603550295857,0.42,0.5115763795376128,0.18196404845157232,0.1743801652892562,0.8921775898520085,0.29173867957137917,2654,2654
portable_dynamic_16,Logistic Regression,uci_source,OULAD_dataset,60,5240,4793,0.1484732824427481,0.42,0.5235519249094611,0.15908889696978698,0.1497872340425532,0.9048843187660668,0.2570281124497992,2654,2654
portable_dynamic_16,Logistic Regression,uci_source,OULAD_dataset,75,5154,4729,0.13407062475746992,0.42,0.5196779566871265,0.1413833739480343,0.1354099069868051,0.9059334298118669,0.23560406473466317,2654,2654
portable_dynamic_16,Logistic Regression,uci_source,UCI_dataset,0,885,885,0.32090395480225986,0.42,0.7523025005272902,0.6179313689639715,0.48853211009174313,0.75,0.5916666666666667,2654,2654
portable_dynamic_16,Logistic Regression,oulad_source,OULAD_dataset,0,5811,5217,0.23748064016520393,0.61,0.5878977657413677,0.3070226866074321,0.26648143470573377,0.7644927536231884,0.3952050945870013,64812,15757
portable_dynamic_16,Logistic Regression,oulad_source,OULAD_dataset,35,5408,4919,0.17492603550295857,0.55,0.6557129597076747,0.2888511301350154,0.28134556574923547,0.48625792811839325,0.3564509879891515,64812,15757
portable_dynamic_16,Logistic Regression,oulad_source,OULAD_dataset,60,5240,4793,0.1484732824427481,0.45,0.6675312464351928,0.25991357498525686,0.265015015015015,0.4537275064267352,0.3345971563981043,64812,15757
portable_dynamic_16,Logistic Regression,oulad_source,OULAD_dataset,75,5154,4729,0.13407062475746992,0.37,0.6553984797983614,0.23270174823572803,0.2261904761904762,0.467438494934877,0.30486078338839073,64812,15757
portable_dynamic_16,Logistic Regression,oulad_source,UCI_dataset,0,885,885,0.32090395480225986,0.61,0.5422886738065665,0.36756186690227377,0.47333333333333333,0.25,0.3271889400921659,64812,15757
portable_dynamic_16,Logistic Regression,pooled,OULAD_dataset,0,5811,5217,0.23748064016520393,0.39,0.5601054330654578,0.27924567460334887,0.2377911993097498,0.9985507246376811,0.38411149825783975,67466,18411
portable_dynamic_16,Logistic Regression,pooled,OULAD_dataset,35,5408,4919,0.17492603550295857,0.47,0.6497552032052674,0.27616620224591243,0.2389413988657845,0.6680761099365751,0.3519910888331941,67466,18411
portable_dynamic_16,Logistic Regression,pooled,OULAD_dataset,60,5240,4793,0.1484732824427481,0.4,0.6651590292893199,0.2550727241429712,0.23789249600851517,0.5745501285347043,0.3364697026721867,67466,18411
portable_dynamic_16,Logistic Regression,pooled,OULAD_dataset,75,5154,4729,0.13407062475746992,0.34,0.6491285640771054,0.22480071376667787,0.21159257175014068,0.5441389290882779,0.3047001620745543,67466,18411
portable_dynamic_16,Logistic Regression,pooled,UCI_dataset,0,885,885,0.32090395480225986,0.39,0.7347671720840852,0.5908471820378263,0.45322245322245325,0.7676056338028169,0.5699346405228758,67466,18411
portable_dynamic_16,XGBoost,uci_source,OULAD_dataset,0,5811,5217,0.23748064016520393,0.38,0.48361036701238636,0.22919121222952346,0.23673751512009678,0.9927536231884058,0.38230779963722616,2654,2654
portable_dynamic_16,XGBoost,uci_source,OULAD_dataset,35,5408,4919,0.17492603550295857,0.38,0.5026915091308991,0.1777726979752169,0.1744617668893838,0.9936575052854123,0.2968108620145248,2654,2654
portable_dynamic_16,XGBoost,uci_source,OULAD_dataset,60,5240,4793,0.1484732824427481,0.38,0.5118534520008434,0.15511512152507934,0.14805592798314499,0.993573264781491,0.2577096182697116,2654,2654
portable_dynamic_16,XGBoost,uci_source,OULAD_dataset,75,5154,4729,0.13407062475746992,0.38,0.5054346187157762,0.13760701422354424,0.13359298928919183,0.9927641099855282,0.2354960521798833,2654,2654
portable_dynamic_16,XGBoost,uci_source,UCI_dataset,0,885,885,0.32090395480225986,0.38,0.773695835579199,0.6450902137143619,0.4934210526315789,0.7922535211267606,0.6081081081081081,2654,2654
portable_dynamic_16,XGBoost,oulad_source,OULAD_dataset,0,5811,5217,0.23748064016520393,0.6,0.5965746927935265,0.3150302921279087,0.2768127929418252,0.7275362318840579,0.4010385460355502,64812,15757
portable_dynamic_16,XGBoost,oulad_source,OULAD_dataset,35,5408,4919,0.17492603550295857,0.52,0.6858823345459852,0.32287769872710737,0.30964109781843774,0.46511627906976744,0.3717786227291931,64812,15757
