comparison,metric,observed_difference,mean_difference,ci_95_lower,ci_95_upper,p_value_two_sided,statistically_significant_0_05
day_60_minus_day_35,roc_auc,0.026989920910026388,0.026726577601788447,0.012812781010613897,0.03948770247230514,0.000999000999000999,True
day_60_minus_day_35,average_precision,0.03012657469931762,0.030205844855627304,0.012657262797005641,0.048041394324626535,0.001998001998001998,True
day_75_minus_day_60,roc_auc,0.018321494995769072,0.018432925171147835,0.00884831507521717,0.028597938667199143,0.000999000999000999,True
day_75_minus_day_60,average_precision,0.011384935140720864,0.010949109812332275,-0.003594146360673354,0.025050934337778295,0.11688311688311688,False
day_75_minus_day_35,roc_auc,0.04531141590579546,0.04487802221947094,0.030143685905169422,0.06105754417386105,0.000999000999000999,True
day_75_minus_day_35,average_precision,0.041511509840038485,0.04111498559407412,0.021985505621417024,0.06088616701507494,0.000999000999000999,True
