cohort,cutoff_day,model,rows,students,positive_rows,prevalence,train_rows,validation_rows,test_rows,test_students,threshold,capacity_threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,average_precision,null_brier_score,brier_skill_score,true_negative,false_positive,false_negative,true_positive,brier_score,calibration_intercept,calibration_slope,capacity_precision,capacity_recall,capacity_specificity,capacity_f1,capacity_true_negative,capacity_false_positive,capacity_false_negative,capacity_true_positive,f1_ci_lower,f1_ci_upper,roc_auc_ci_lower,roc_auc_ci_upper,average_precision_ci_lower,average_precision_ci_upper,recall_ci_lower,recall_ci_upper
dynamic_landmark,35,Logistic Regression,27129,24567,4718,0.1739098381805448,16298,5432,5399,4875,0.22,0.30375723442523594,0.739581403963697,0.6451390573355777,0.3238837703756201,0.5027502750275028,0.7875278396436526,0.3939655172413793,0.713766320952808,0.33690741286897496,0.14007485488111512,0.08496809284514373,3536,954,452,457,0.1281729616063065,-0.20355865866396974,0.8865373411874029,0.3837902264600715,0.3542354235423542,0.8848552338530067,0.3684210526315789,3973,517,587,322,0.3679551930188782,0.4219868687027079,0.694058169805287,0.7331178729240092,0.30955993167773693,0.3703865537913433,0.46847775294595695,0.5345800819346608
dynamic_landmark,35,XGBoost,27129,24567,4718,0.1739098381805448,16298,5432,5399,4875,0.2,0.3048649398275404,0.7129097981107613,0.6580573870304625,0.3100177830468287,0.5753575357535754,0.7407572383073496,0.4029275808936826,0.7165359520361836,0.35560071998332227,0.14007485488111512,0.09703044856936471,3326,1164,386,523,0.12648332887871186,-0.2108971174027512,0.8774359024307036,0.401219512195122,0.3619361936193619,0.8906458797327395,0.3805668016194332,3999,491,580,329,0.3793583043789548,0.42745617728915225,0.6965371004740987,0.7349738283909292,0.32744070179017243,0.3886168373624591,0.5413797462535626,0.6056783230570691
dynamic_landmark,60,Logistic Regression,26253,23899,3837,0.1461547251742658,15788,5246,5219,4737,0.2,0.2575949954912631,0.7591492623107875,0.6450691493726889,0.2859450726978998,0.48693259972489683,0.8032056990204809,0.3603053435114504,0.7136388578931703,0.2828369613983687,0.11999315989152717,0.07203352084524495,3608,884,373,354,0.11134963010719404,-0.22336703939958966,0.8809824409980456,0.3227040816326531,0.34800550206327374,0.8817898486197685,0.33487756452680345,3961,531,474,253,0.3304073912664517,0.3869675160190218,0.6928496690535455,0.7343740286858877,0.25400464642117077,0.3132759663053432,0.4501314598893554,0.5240191250572607
dynamic_landmark,60,XGBoost,26253,23899,3837,0.1461547251742658,15788,5246,5219,4737,0.2,0.25529565166093693,0.7643226671776202,0.660179919428824,0.29928172386272944,0.515818431911967,0.8045414069456812,0.3787878787878788,0.7175166060157688,0.3047176200198056,0.11999315989152717,0.08676281500383098,3614,878,352,375,0.1095822155581335,-0.17825900031028552,0.9057534314440427,0.34880803011292344,0.38239339752407153,0.8844612644701692,0.3648293963254593,3973,519,449,278,0.350051585766698,0.40590090090090086,0.6959366996159329,0.7390585872602887,0.27380839640162197,0.33837622424517244,0.48016270723945614,0.5554074362738761
dynamic_landmark,75,Logistic Regression,25795,23566,3378,0.13095561155262647,15496,5164,5135,4678,0.18,0.22735799491500472,0.7655306718597857,0.6401096333000502,0.2600513259195894,0.4727838258164852,0.8074354407836153,0.3355408388520971,0.7142021274385845,0.2624448250719051,0.10960289134396135,0.0654031568357536,3627,865,339,304,0.10243451625174019,-0.24841731535498493,0.8795175431994374,0.28081321473951715,0.343701399688958,0.8739982190560998,0.3090909090909091,3926,566,422,221,0.3085772093567117,0.3633428286725785,0.6931137863863931,0.7351617115439626,0.23345453348157538,0.29597156549385906,0.4343872170197291,0.5146043647796803
dynamic_landmark,75,XGBoost,25795,23566,3378,0.13095561155262647,15496,5164,5135,4678,0.18,0.23236074628002149,0.7604673807205453,0.6485426311715038,0.2611879576891782,0.49922239502332816,0.7978628673196795,0.34294871794871795,0.7170923528817086,0.2771412613952771,0.10960289134396135,0.07638646218842848,3584,908,322,321,0.10123071422857341,-0.2353265891537946,0.8844693985639036,0.30497382198952877,0.36236391912908245,0.8817898486197685,0.3312011371712864,3961,531,410,233,0.315730499194847,0.371886315760488,0.6952718364357757,0.7394606784368417,0.2469363975962128,0.3132685138253067,0.46096355270395784,0.5381043956043956
controlled_day75,35,Logistic Regression,25795,23566,3378,0.13095561155262647,15496,5164,5135,4678,0.14,0.2252242768963309,0.6860759493670886,0.6333407308517371,0.21382161842882458,0.5629860031104199,0.7036954585930543,0.3099315068493151,0.6813149071651833,0.23498819967235893,0.10960289134396135,0.043729580203329066,3161,1331,281,362,0.10481000291641883,-0.41106985170450916,0.7896782079877918,0.26171875,0.31259720062208396,0.8737756010685663,0.28490432317505315,3925,567,442,201,0.28483238324569593,0.33635354168998466,0.6596886447181436,0.7034319478281625,0.20970393033537527,0.2670396718073266,0.5221833958724202,0.6018518518518519
controlled_day75,35,XGBoost,25795,23566,3378,0.13095561155262647,15496,5164,5135,4678,0.14,0.2199403379387944,0.6757546251217137,0.630772834096628,0.208997722095672,0.5707620528771384,0.6907836153161175,0.30596081700708627,0.6726004342954954,0.23643322259252175,0.10960289134396135,0.04604061313699492,3103,1389,276,367,0.10455670702489794,-0.44614890207130725,0.7677538966132068,0.26801517067003794,0.3297045101088647,0.8711041852181657,0.29567642956764295,3913,579,431,212,0.2822616240547518,0.3320855051137119,0.6490789085454279,0.6952122589826456,0.21133649915383332,0.26757398287708944,0.5322142633678338,0.6098252221316729
controlled_day75,60,Logistic Regression,25795,23566,3378,0.13095561155262647,15496,5164,5135,4678,0.18,0.22869585696664416,0.7557935735150925,0.6345441836117155,0.24938474159146842,0.4727838258164852,0.7963045414069457,0.32653061224489793,0.7036985745524443,0.252589567951642,0.10960289134396135,0.05896141926341503,3577,915,339,304,0.10314054931494752,-0.3019023487476574,0.847031113804081,0.29411764705882354,0.35769828926905134,0.8771148708815673,0.32280701754385965,3940,552,413,230,0.29873081825541103,0.3554905397327841,0.6822880813057836,0.7244742734241855,0.2262752371194874,0.28481914523975677,0.4351824526887765,0.5145117361946386
controlled_day75,60,XGBoost,25795,23566,3378,0.13095561155262647,15496,5164,5135,4678,0.18,0.22451231219615866,0.7614410905550146,0.6444351042600012,0.25950413223140495,0.48833592534992226,0.8005342831700801,0.3389098758769563,0.6995903552055218,0.2665597972918394,0.10960289134396135,0.06731502857063598,3596,896,329,314,0.10222496958171828,-0.2967551868303633,0.8510338842207458,0.3069182389937107,0.37947122861586313,0.8773374888691006,0.33936022253129344,3941,551,399,244,0.30818502751017596,0.3668481873728234,0.6778064565003654,0.7201093223116951,0.23718761977644784,0.3023857083719944,0.44984472680035725,0.5271573940909047
